
wavelengths[nm],amplitude_lambda,angularFrequency[G rad/s],amplitude
1070.1,0.9339518745105028,1200608657422851.0,0.6236782156570173
1070.2,0.7987373580560981,1200720853353831.5,0.05347025257337954
1070.3,0.6004108642102973,1200833049284812.0,1.7111361598325745
1070.4,0.3402671759779227,1200945245215792.8,0.5743498816290917
1070.5,0.11763373539348987,1201057441146773.2,0.21322209330816366
1070.6,0.040526939528781204,1201169637077753.8,0.9031707602949205
1070.7,0.14111217328153586,1201281833008734.2,2.432460196487036
1070.8,0.2976540258505793,1201394028939714.8,2.3469664643686716
1070.9,0.5327252976346478,1201506224870695.5,0.9571381263793615
1071.0,0.7729852169752427,1201618420801676.0,1.552479128768815
1071.1,0.907764417294454,1201730616732656.5,0.8428191630841219
1071.2,0.8871190273719397,1201842812663637.0,0.3204776511254016
1071.3,0.7616076489522687,1201955008594617.5,0.415034808692172
1071.4,0.4993172856967329,1202067204525598.2,0.7267946388652734
1071.5,0.304762529255383,1202179400456578.8,-0.24755538686045717
1071.6,0.13748948637709157,1202291596387559.2,-2.3326004774361033
1071.7,0.03996097958214468,1202403792318539.8,0.23379690944383233
1071.8,0.08259792322686042,1202515988249520.2,1.4559468453275153
1071.9,0.2949196892341285,1202628184180501.0,0.35748060722717734
1072.0,0.510894124761774,1202740380111481.5,0.48823317800416555
1072.1,0.7203451181535658,1202852576042462.0,0.008274737652924805
1072.2,0.845074068380557,1202964771973442.5,0.5871086113940235
1072.3,0.9499151442715066,1203076967904423.0,0.9350021481618117
1072.4,0.8616674567819408,1203189163835403.5,0.4978750399995007
1072.5,0.6104330662422831,1203301359766384.2,1.3827666584019735
1072.6,0.3713692197045663,1203413555697364.8,0.8547764813659937
1072.7,0.1832940306160407,1203525751628345.2,0.2879975910408458
1072.8,0.07122065878385685,1203637947559325.8,0.6922837801435053
1072.9,0.0660251571320147,1203750143490306.2,0.8124749145624351
1073.0,0.23638381036699466,1203862339421287.0,5.633431481366619
1073.1,0.42941565539298504,1203974535352267.5,3.404134396360665
1073.2,0.6207207716754832,1204086731283248.0,0.07987536258377097
1073.3,0.9092430347417164,1204198927214228.5,0.4123261566484278
1073.4,0.901479210279067,1204311123145209.0,0.866883866189569
1073.5,0.8388214458685784,1204423319076189.8,0.29371109648718163
1073.6,0.7287431599003732,1204535515007170.2,0.2655081515484021
1073.7,0.48627494759357176,1204647710938150.8,0.19198430502048072
1073.8,0.21276211191414623,1204759906869131.2,-0.3543793719492549
1073.9,0.06060624799902812,1204872102800111.8,0.505213033361562
1074.0,0.006802719130725414,1204984298731092.5,0.535063082264476
1074.1,0.08348571552378273,1205096494662073.0,0.13265423641820054
1074.2,0.30618373036835306,1205208690593053.5,0.5351958026863822
1074.3,0.5724238244187924,1205320886524034.0,0.05059363224279166
1074.4,0.8330961317410819,1205433082455014.5,-0.07245458591719474
1074.5,0.9556927191706905,1205545278385995.2,0.23571388500620943
1074.6,0.9612288813225095,1205657474316975.8,1.6946128229167319
1074.7,0.8578129827078708,1205769670247956.2,-0.18503599083793273
1074.8,0.5968221179656248,1205881866178936.8,0.47983920319074597
1074.9,0.29760811882088,1205994062109917.2,1.2499259882489082
1075.0,0.10846543124367067,1206106258040898.0,0.9263579581867984
1075.1,-0.030960789505238676,1206218453971878.5,1.296646988929306
1075.2,-0.045969360258950966,1206330649902859.0,0.7447932968836429
1075.3,0.11940717894187032,1206442845833839.5,1.3133924693292458
1075.4,0.387436073623369,1206555041764820.0,0.609756606051812
1075.5,0.6322886772491503,1206667237695800.8,0.9025976260723894
1075.6,0.9828172772666215,1206779433626781.2,0.18710886008104766
1075.7,0.9933495362876984,1206891629557761.8,0.031914886846997045
1075.8,0.9644180400840654,1207003825488742.2,0.9471567386820801
1075.9,0.721068506788563,1207116021419722.8,0.18107658446150995
1076.0,0.5683852144649928,1207228217350703.2,0.08091078347778968
1076.1,0.23283988972786657,1207340413281684.0,-0.15006243704661065
1076.2,-0.0072383669291280995,1207452609212664.5,-0.48008841554295667
1076.3,-0.0783238465413523,1207564805143645.0,0.1924816746041381
1076.4,-0.019913472547384403,1207677001074625.5,0.5932271331758421
1076.5,0.16330801591303176,1207789197005606.0,0.13958114026071253
1076.6,0.5084892534604424,1207901392936586.8,-0.2624311149454869
1076.7,0.742847122391391,1208013588867567.2,0.1563964148353125
1076.8,0.8770924712989794,1208125784798547.8,1.1549356330996163
1076.9,1.1204241408426805,1208237980729528.2,0.7028603436986331
1077.0,0.9161973281159057,1208350176660508.8,0.9261036008423049
1077.1,0.8072616092550773,1208462372591489.5,0.6439858365983576
1077.2,0.5029038057283274,1208574568522470.0,6.856455336169647
1077.3,0.20068249588630177,1208686764453450.5,0.30882202052391583
1077.4,-0.0013587276046542406,1208798960384431.0,0.6118741981111797
1077.5,-0.07419055539676135,1208911156315411.5,1.3955584869849933
1077.6,-0.03889782659993503,1209023352246392.2,2.4215724912973227
1077.7,0.17344015225613788,1209135548177372.8,0.09804248687851069
1077.8,0.4816121287435366,1209247744108353.2,0.595559616565172
1077.9,0.6638964619007626,1209359940039333.8,0.07051532367545485
1078.0,1.029582842644151,1209472135970314.2,0.48581365871075377
1078.1,1.0920423574548621,1209584331901295.0,0.061495449227802444
1078.2,1.1103151176212247,1209696527832275.5,-0.2833411742009796
1078.3,0.9640688565378848,1209808723763256.0,0.37798726794034354
1078.4,0.5995774927429318,1209920919694236.5,-0.0586288976226068
1078.5,0.28382585002389044,1210033115625217.0,-0.19090524004973405
