"Data for the dispersion of leaky mode in HCF as per Zeisberger, 
Analytic model for the complex effective index of the leaky modes of tube-type 
anti-resonant hollow core fibers, 2017.

Parameters:
Name of mode: HE_1,1,
Min wavelength: 0.3 [um],
Max wavelength: 1.7999999999999998 [um],
Number of points: 10000,
n_g: fused silica,
Core radius, R: 20.0 [um],
Capillary thickness, w: 0.7 [um].  
* [u = micro] *

"
Wavelength [nm],Re_n_eff
3e-07,0.9999832776025052
3.0015001500150015e-07,0.9999832550548765
3.003000300030003e-07,0.999983232264523
3.004500450045004e-07,0.9999832092168104
3.006000600060006e-07,0.9999831858958623
3.0075007500750074e-07,0.9999831622844262
3.009000900090009e-07,0.9999831383637202
3.0105010501050106e-07,0.9999831141132604
3.0120012001200117e-07,0.9999830895106622
3.0135013501350133e-07,0.9999830645314162
3.015001500150015e-07,0.9999830391486281
3.0165016501650165e-07,0.9999830133327224
3.018001800180018e-07,0.9999829870510989
3.019501950195019e-07,0.9999829602677358
3.021002100210021e-07,0.9999829329427286
3.0225022502250224e-07,0.9999829050317524
3.024002400240024e-07,0.999982876485432
3.025502550255025e-07,0.9999828472486014
3.0270027002700267e-07,0.9999828172594288
3.0285028502850283e-07,0.9999827864483786
3.03000300030003e-07,0.9999827547369717
3.0315031503150316e-07,0.9999827220363016
3.0330033003300326e-07,0.9999826882452403
3.034503450345034e-07,0.9999826532482654
3.036003600360036e-07,0.9999826169128029
3.0375037503750375e-07,0.9999825790859602
3.039003900390039e-07,0.9999825395904791
3.04050405040504e-07,0.9999824982196788
3.042004200420042e-07,0.9999824547310877
3.0435043504350434e-07,0.999982408838344
3.045004500450045e-07,0.9999823602007945
3.0465046504650466e-07,0.9999823084099868
3.0480048004800477e-07,0.999982252971919
3.0495049504950493e-07,0.9999821932834027
3.051005100510051e-07,0.9999821286001322
3.0525052505250525e-07,0.9999820579928517
3.054005400540054e-07,0.9999819802861025
3.055505550555055e-07,0.9999818939708992
3.057005700570057e-07,0.999981797077402
3.0585058505850584e-07,0.9999816869844376
3.06000600060006e-07,0.9999815601260319
3.061506150615061e-07,0.9999814115235562
3.0630063006300627e-07,0.9999812340093058
3.0645064506450643e-07,0.9999810168747514
3.066006600660066e-07,0.9999807433760175
3.0675067506750676e-07,0.9999803857846092
3.0690069006900686e-07,0.9999798946122676
3.07050705070507e-07,0.9999791720565584
3.072007200720072e-07,0.9999779940044163
3.0735073507350735e-07,0.999975708891488
3.075007500750075e-07,0.9999692897891207
3.076507650765076e-07,0.9998311489382321
3.078007800780078e-07,0.9999989986019271
3.0795079507950794e-07,0.99999040598288
3.081008100810081e-07,0.9999877217114742
3.0825082508250826e-07,0.9999864041549696
3.0840084008400837e-07,0.9999856170210183
3.0855085508550853e-07,0.9999850907264911
3.087008700870087e-07,0.9999847119050091
3.0885088508850885e-07,0.9999844245705719
3.09000900090009e-07,0.9999841978915176
3.091509150915091e-07,0.9999840134898988
3.093009300930093e-07,0.9999838597302356
3.0945094509450944e-07,0.999983728887211
3.096009600960096e-07,0.9999836156304328
3.097509750975097e-07,0.9999835161631232
3.0990099009900987e-07,0.9999834277075793
3.1005100510051003e-07,0.9999833481847662
3.102010201020102e-07,0.9999832760076441
3.1035103510351036e-07,0.9999832099437616
3.1050105010501046e-07,0.9999831490214623
3.106510651065106e-07,0.9999830924643687
3.108010801080108e-07,0.9999830396446697
3.1095109510951095e-07,0.999982990049207
3.111011101110111e-07,0.9999829432544437
3.112511251125112e-07,0.9999828989077179
3.114011401140114e-07,0.9999828567130121
3.1155115511551154e-07,0.9999828164200194
3.117011701170117e-07,0.9999827778156474
3.1185118511851186e-07,0.9999827407173504
3.1200120012001197e-07,0.9999827049678442
3.1215121512151213e-07,0.9999826704308832
3.123012301230123e-07,0.999982636987855
3.1245124512451245e-07,0.9999826045350182
3.126012601260126e-07,0.9999825729812415
3.127512751275127e-07,0.9999825422461447
3.129012901290129e-07,0.9999825122585583
3.1305130513051304e-07,0.99998248295524
3.132013201320132e-07,0.9999824542798023
3.1335133513351337e-07,0.9999824261818064
3.1350135013501347e-07,0.9999823986159992
3.1365136513651363e-07,0.9999823715416624
3.138013801380138e-07,0.9999823449220584
3.1395139513951396e-07,0.999982318723956
3.1410141014101406e-07,0.999982292917221
3.142514251425142e-07,0.9999822674744631
3.144014401440144e-07,0.9999822423707316
3.1455145514551455e-07,0.9999822175832491
3.147014701470147e-07,0.9999821930911791
3.148514851485148e-07,0.9999821688754246
3.15001500150015e-07,0.9999821449184493
3.1515151515151514e-07,0.9999821212041217
3.153015301530153e-07,0.9999820977175768
3.1545154515451546e-07,0.9999820744450947
3.1560156015601557e-07,0.9999820513739918
3.1575157515751573e-07,0.9999820284925244
3.159015901590159e-07,0.9999820057898039
3.1605160516051605e-07,0.9999819832557199
3.162016201620162e-07,0.9999819608808717
3.163516351635163e-07,0.9999819386565071
3.165016501650165e-07,0.9999819165744676
3.1665166516651664e-07,0.9999818946271384
3.168016801680168e-07,0.9999818728074041
3.169516951695169e-07,0.9999818511086082
3.1710171017101707e-07,0.9999818295245166
3.1725172517251723e-07,0.9999818080492846
3.174017401740174e-07,0.9999817866774272
3.1755175517551756e-07,0.9999817654037909
3.1770177017701766e-07,0.9999817442235299
3.178517851785178e-07,0.9999817231320832
3.18001800180018e-07,0.9999817021251534
3.1815181518151815e-07,0.9999816811986881
3.183018301830183e-07,0.9999816603488633
3.184518451845184e-07,0.9999816395720665
3.186018601860186e-07,0.9999816188648828
3.1875187518751874e-07,0.9999815982240812
3.189018901890189e-07,0.9999815776466026
3.1905190519051906e-07,0.9999815571295482
3.1920192019201917e-07,0.9999815366701692
3.1935193519351933e-07,0.9999815162658575
3.195019501950195e-07,0.9999814959141359
3.1965196519651965e-07,0.9999814756126509
3.198019801980198e-07,0.9999814553591645
3.199519951995199e-07,0.9999814351515469
3.201020102010201e-07,0.9999814149877708
3.2025202520252024e-07,0.9999813948659044
3.204020402040204e-07,0.9999813747841064
3.2055205520552057e-07,0.9999813547406203
3.2070207020702067e-07,0.9999813347337698
3.2085208520852083e-07,0.9999813147619541
3.21002100210021e-07,0.9999812948236435
3.2115211521152116e-07,0.9999812749173759
3.2130213021302126e-07,0.9999812550417526
3.214521452145214e-07,0.9999812351954351
3.216021602160216e-07,0.9999812153771417
3.2175217521752175e-07,0.9999811955856445
3.219021902190219e-07,0.9999811758197668
3.22052205220522e-07,0.9999811560783799
3.222022202220222e-07,0.9999811363604012
3.2235223522352234e-07,0.9999811166647917
3.225022502250225e-07,0.999981096990553
3.2265226522652266e-07,0.9999810773367268
3.2280228022802277e-07,0.9999810577023914
3.2295229522952293e-07,0.9999810380866607
3.231023102310231e-07,0.9999810184886824
3.2325232523252325e-07,0.9999809989076359
3.234023402340234e-07,0.9999809793427317
3.235523552355235e-07,0.9999809597932086
3.237023702370237e-07,0.9999809402583338
3.2385238523852384e-07,0.9999809207374005
3.24002400240024e-07,0.9999809012297272
3.241524152415241e-07,0.9999808817346565
3.243024302430243e-07,0.9999808622515537
3.2445244524452443e-07,0.9999808427798061
3.246024602460246e-07,0.9999808233188223
3.2475247524752476e-07,0.9999808038680302
3.249024902490249e-07,0.9999807844268774
3.25052505250525e-07,0.9999807649948295
3.252025202520252e-07,0.9999807455713695
3.2535253525352535e-07,0.9999807261559974
3.255025502550255e-07,0.999980706748229
3.256525652565256e-07,0.9999806873475957
3.258025802580258e-07,0.9999806679536433
3.2595259525952594e-07,0.9999806485659317
3.261026102610261e-07,0.9999806291840346
3.2625262526252626e-07,0.9999806098075384
3.2640264026402637e-07,0.999980590436042
3.2655265526552653e-07,0.9999805710691562
3.267026702670267e-07,0.999980551706503
3.2685268526852685e-07,0.9999805323477159
3.27002700270027e-07,0.9999805129924385
3.271527152715271e-07,0.9999804936403246
3.273027302730273e-07,0.9999804742910378
3.2745274527452744e-07,0.999980454944251
3.276027602760276e-07,0.9999804355996461
3.2775277527752777e-07,0.9999804162569137
3.279027902790279e-07,0.9999803969157526
3.2805280528052803e-07,0.9999803775758694
3.282028202820282e-07,0.999980358236979
3.2835283528352836e-07,0.9999803388988029
3.2850285028502846e-07,0.9999803195610701
3.286528652865286e-07,0.9999803002235168
3.288028802880288e-07,0.999980280885885
3.2895289528952895e-07,0.9999802615479236
3.291029102910291e-07,0.9999802422093875
3.292529252925292e-07,0.9999802228700375
3.294029402940294e-07,0.9999802035296398
3.2955295529552954e-07,0.9999801841879665
3.297029702970297e-07,0.9999801648447946
3.2985298529852986e-07,0.9999801454999063
3.3000300030002997e-07,0.9999801261530887
3.3015301530153013e-07,0.9999801068041337
3.303030303030303e-07,0.9999800874528374
3.3045304530453045e-07,0.9999800680990006
3.306030603060306e-07,0.9999800487424283
3.307530753075307e-07,0.9999800293829293
